region_number,prov_abbr,seat_type,party,riding_number
0,BC,local,Green,0
0,BC,local,NDP,1
0,BC,local,NDP,2
0,BC,local,NDP,3
0,BC,local,NDP,4
1,BC,local,Conservative,5
1,BC,local,Conservative,6
1,BC,local,Conservative,7
1,BC,local,Liberal,8
1,BC,local,NDP,9
1,BC,local,NDP,10
2,BC,local,Conservative,11
2,BC,local,Conservative,12
2,BC,local,Conservative,13
2,BC,local,Liberal,14
2,BC,local,Liberal,15
2,BC,local,Liberal,16
2,BC,local,Liberal,17
3,BC,local,Liberal,18
3,BC,local,Liberal,19
3,BC,local,Liberal,20
3,BC,local,Liberal,21
3,BC,local,Liberal,22
3,BC,local,Liberal,23
3,BC,local,NDP,24
3,BC,local,NDP,25
3,BC,local,NDP,26
4,AB,local,Conservative,27
4,AB,local,Conservative,28
4,AB,local,Conservative,29
4,AB,local,Conservative,30
4,AB,local,Conservative,31
4,AB,local,Liberal,32
4,AB,local,NDP,33
5,AB,local,Conservative,34
5,AB,local,Conservative,35
5,AB,local,Conservative,36
5,AB,local,Conservative,37
5,AB,local,Conservative,38
5,AB,local,Conservative,39
5,AB,local,Conservative,40
6,AB,local,Conservative,41
6,AB,local,Conservative,42
6,AB,local,Conservative,43
6,AB,local,Conservative,44
6,AB,local,Conservative,45
6,AB,local,Conservative,46
6,AB,local,Liberal,47
7,SK,local,Conservative,48
7,SK,local,Conservative,49
7,SK,local,Conservative,50
7,SK,local,Conservative,51
7,SK,local,Conservative,52
7,SK,local,Conservative,53
7,SK,local,Liberal,54
7,SK,local,NDP,55
7,SK,local,NDP,56
8,MB,local,Conservative,57
8,MB,local,Conservative,58
8,MB,local,Conservative,59
8,MB,local,NDP,60
9,MB,local,Liberal,61
9,MB,local,Liberal,62
9,MB,local,Liberal,63
9,MB,local,Liberal,64
9,MB,local,NDP,65
10,ON,local,Liberal,66
10,ON,local,Liberal,67
10,ON,local,Liberal,68
10,ON,local,Liberal,69
10,ON,local,NDP,70
10,ON,local,NDP,71
11,ON,local,Conservative,72
11,ON,local,Conservative,73
11,ON,local,Conservative,74
11,ON,local,Conservative,75
11,ON,local,Liberal,76
11,ON,local,NDP,77
11,ON,local,NDP,78
11,ON,local,NDP,79
12,ON,local,Conservative,80
12,ON,local,Conservative,81
12,ON,local,Conservative,82
12,ON,local,Conservative,83
12,ON,local,Liberal,84
12,ON,local,Liberal,85
12,ON,local,Liberal,86
12,ON,local,Liberal,87
13,ON,local,Conservative,88
13,ON,local,Conservative,89
13,ON,local,Conservative,90
13,ON,local,Liberal,91
13,ON,local,Liberal,92
13,ON,local,Liberal,93
13,ON,local,NDP,94
14,ON,local,Conservative,95
14,ON,local,Conservative,96
14,ON,local,Liberal,97
14,ON,local,Liberal,98
14,ON,local,Liberal,99
14,ON,local,Liberal,100
14,ON,local,Liberal,101
14,ON,local,Liberal,102
14,ON,local,Liberal,103
15,ON,local,Liberal,104
15,ON,local,Liberal,105
15,ON,local,Liberal,106
15,ON,local,Liberal,107
15,ON,local,Liberal,108
15,ON,local,Liberal,109
15,ON,local,Liberal,110
15,ON,local,Liberal,111
16,ON,local,Liberal,112
16,ON,local,Liberal,113
16,ON,local,Liberal,114
16,ON,local,Liberal,115
16,ON,local,Liberal,116
16,ON,local,Liberal,117
16,ON,local,Liberal,118
17,ON,local,Conservative,119
17,ON,local,Conservative,120
17,ON,local,Conservative,121
17,ON,local,Liberal,122
17,ON,local,Liberal,123
17,ON,local,Liberal,124
17,ON,local,Liberal,125
17,ON,local,Liberal,126
17,ON,local,Liberal,127
18,ON,local,Conservative,128
18,ON,local,Conservative,129
18,ON,local,Liberal,130
18,ON,local,Liberal,131
18,ON,local,Liberal,132
18,ON,local,Liberal,133
19,ON,local,Conservative,134
19,ON,local,Liberal,135
19,ON,local,Liberal,136
19,ON,local,Liberal,137
19,ON,local,Liberal,138
19,ON,local,Liberal,139
20,QC,local,Bloc,140
20,QC,local,Conservative,141
20,QC,local,Conservative,142
20,QC,local,Conservative,143
20,QC,local,Liberal,144
20,QC,local,Liberal,145
20,QC,local,NDP,146
21,QC,local,Conservative,147
21,QC,local,Conservative,148
21,QC,local,Liberal,149
21,QC,local,Liberal,150
21,QC,local,NDP,151
22,QC,local,Bloc,152
22,QC,local,Conservative,153
22,QC,local,Liberal,154
22,QC,local,Liberal,155
22,QC,local,Liberal,156
22,QC,local,NDP,157
22,QC,local,NDP,158
23,QC,local,Liberal,159
23,QC,local,Liberal,160
23,QC,local,NDP,161
23,QC,local,NDP,162
24,QC,local,Bloc,163
24,QC,local,Liberal,164
24,QC,local,Liberal,165
24,QC,local,Liberal,166
24,QC,local,Liberal,167
24,QC,local,NDP,168
24,QC,local,NDP,169
25,QC,local,Bloc,170
25,QC,local,Bloc,171
25,QC,local,Bloc,172
25,QC,local,Bloc,173
25,QC,local,Liberal,174
25,QC,local,Liberal,175
25,QC,local,Liberal,176
25,QC,local,Liberal,177
26,QC,local,Liberal,178
26,QC,local,Liberal,179
26,QC,local,Liberal,180
26,QC,local,Liberal,181
27,QC,local,Bloc,182
27,QC,local,Liberal,183
27,QC,local,Liberal,184
27,QC,local,Liberal,185
27,QC,local,Liberal,186
27,QC,local,NDP,187
27,QC,local,NDP,188
28,NB,local,Liberal,189
28,NB,local,Liberal,190
28,NB,local,Liberal,191
28,NB,local,Liberal,192
28,NB,local,Liberal,193
28,NB,local,Liberal,194
29,NS,local,Liberal,195
29,NS,local,Liberal,196
29,NS,local,Liberal,197
29,NS,local,Liberal,198
29,NS,local,Liberal,199
29,NS,local,Liberal,200
29,NS,local,Liberal,201
30,PE,local,Liberal,202
30,PE,local,Liberal,203
31,NL,local,Liberal,204
31,NL,local,Liberal,205
31,NL,local,Liberal,206
31,NL,local,Liberal,207
31,NL,local,Liberal,208
32,YT,local,Liberal,209
33,NT,local,Liberal,210
34,NU,local,Liberal,211
0,BC,regional,Conservative,
0,BC,regional,Liberal,
1,BC,regional,Liberal,
1,BC,regional,Liberal,
